Level 1,Level 2,Level 3,Definition,Examples,YAGO Mapping,Wikidata
APP,,,A computer program providing the user with tools to accomplish a task,"Word, Excel, PhotoShop, Minecraft, iMessage, Microsoft Edge, Google Chrome",Application106570110,Q166142
APP,CommunicationSoftware,,"Software used to provide remote access to systems and exchange files and messages in text, audio and/or video formats between different computers or users","Hangouts, iMessage, Zoom",N/A,Q3635085
APP,CommunicationSoftware,SocialMedia,"An application or website that facilitates the sharing of ideas, thoughts, and information through the building of virtual networks and communities","Facebook, Insagram, Twitter, Snapchat, WeChat, TikTok",N/A,Q202833
ConsumerGoods,,,"A commodity that is used by the consumer to satisfy current wants or needs, rather than to produce another good (excluding services and personal vehicles)","food, clothing, household products such as toilet paper, detergent, etc",ConsumerGoods103093574,
ConsumerGoods,Clothing,,Items worn on the body to provide a barrier between the skin and the environment,"dress, jacket, shoes, boots, hat",Clothing103051540,
ConsumerGoods,Food,,Any substance onsumed to provide nutritional support for an organism,"apple, milk, hamburger, (drinking) water","Food100021265, Food100021265",
ConsumerGoods,Furniture,,"Movable objects placed in a house or office to make it comfortable for humans to sit, sleap, eat or work comfortably","bed, dresser, table, chair",furniture103405725,
ConsumerGoods,Furniture,SeatingFurniture,Furniture that is designed for sitting on,"chair, bench, sofa",Seat104161981,
ConsumerGoods,Furniture,SleepingFurniture,A piece of furniture that provides a place to sleep,"bed, crib",Bed102818832,
ConsumerGoods,Furniture,StorageFurniture,A piece of furniture for storage,"dresser, wardrobe, bookshelves",Cabinet102933112,
ConsumerGoods,Furniture,Table,"A piece of furniture with a flat top and one or more legs used for eating, working, etc","dining table, desk",Table104379243,
ConsumerGoods,HomeAppliance,,"A device which assists in household functions such as cooking, cleaning and food preservation","microwave, oven, washing machine, vacuum cleaner",HomeAppliance103528263,
ConsumerGoods,HomeAppliance,MajorAppliance,"A large non portable home appliance used for routine housekeeping tasks such as cooking, washing laundry, or food preservation","refrigerator, dish washer",N/A,
ConsumerGoods,HomeAppliance,SmallAppliance,A portable or semi-portable home appliance use tod accomplish a household task,"coffee maker, hair dryer",N/A,
Document,,,"A written, drawn, presented, or memorialized representation of information (especially information of an official nature)",,Document106470073,
Document,LegalDocument,,A formally executed written document,"deed, will, contract, legislative act",LegalDocument106479665,
Document,LegalDocument,Certificate,A document attesting to the truth of certain stated facts,"birth certificate, death certificate",Certificate106471345,
Document,LegalDocument,PersonalIdentification,A document that may be used to prove a person's identity,"passport, resident identity card (China), driver's license",N/A,
Document,Report,,A document that presents information in an organized format for a specific audience and purpose,Mueller report,Report107218470,
FAC,,,A man-made structure (permanent or temporary) that facilitates something,"house, airport, highway",Facility103315023,
FAC,Building,,A structure with a roof and walls that stands more or less permanently in one place,"shed, garage",Building102913152,
FAC,Building,ApartmentBuilding,A building with more than one apartment unit,"Lerner Arrowood Parc, Halstead Square - Lotus & Lofts",ApartmentBuilding102726681,
FAC,Building,Clinic,A healthcare facility that is primarily focused on the care of outpatients,"MinuteClinic, Inova Urgent Care - Vienna",Clinic103043274,
FAC,Building,Courthouse,A building in which courts of law are regularly held,District Court for Montgomery County,N/A,
