DNA	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:17-19	NAM
O.J. Simpson	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:44-55	NAM
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:57-61	NOM
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:139-143	NOM
O.J. Simpson	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:164-175	NAM
estate	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:186-191	NOM
Nicole Brown Simpson	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:276-295	NAM
Ronald Goldman	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:301-314	NAM
TMZ	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:336-338	NAM
Los Angeles Police Department	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:366-394	NAM
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:421-425	NOM
soil	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:480-483	NOM
Police	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:562-567	NOM
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:631-635	NOM
TMZ	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:638-640	NAM
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1475-1479	NOM
worker	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1509-1514	NOM
perimeter	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1523-1531	NOM
Simpson	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1536-1542	NAM
s	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1544-1544	PRO
estate	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1546-1551	NOM
he	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1576-1577	PRO
property	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1592-1599	NOM
worker	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1606-1611	NOM
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1629-1633	NOM
LAPD	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1638-1641	NAM
officer	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1643-1649	NOM
George Maycott	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1651-1664	NAM
who	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1667-1669	PRO
guard	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1697-1701	NOM
Maycott	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1727-1733	NAM
s	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1735-1735	NAM
attorney	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1737-1744	NOM
AP	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1755-1756	NAM
he	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1773-1774	PRO
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1801-1805	NOM
LAPD	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1814-1817	NAM
department	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1836-1845	NOM
it	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1879-1880	PRO
he	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1886-1887	PRO
he	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1930-1931	PRO
LAPD	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1951-1954	NAM
its	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1959-1961	PRO
knife	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1977-1981	NOM
Simpson	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:1992-1998	NAM
estate	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2009-2014	NOM
gardeners	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2032-2040	NOM
AP	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2047-2048	NAM
source	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2050-2055	NOM
LAPD	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2103-2106	NAM
spokeswoman	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2108-2118	NOM
department	20160315_WAPO_55c03f01631ae453d58744906df9ac5b:2129-2138	NOM
Burma	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:3-7	NAM
Buddha	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:48-53	NAM
New Zealander	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:104-116	NAM
Burmese	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:126-132	NAM
men	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:134-136	NOM
Burma	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:158-162	NAM
their	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:264-268	PRO
bar	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:270-272	NOM
city	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:281-284	NOM
Rangoon	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:289-295	NAM
Buddha	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:325-330	NAM
bar	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:425-427	NOM
member	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:481-486	NOM
department	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:502-511	NOM
Burma	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:516-520	NAM
BBC	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:540-542	NAM
country	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:549-555	NOM
Myanmar	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:574-580	NAM
bar	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:593-595	NOM
authorities	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:623-633	NOM
its	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:636-638	PRO
managers	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:729-736	NOM
owners	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:742-747	NOM
We	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:758-759	PRO
our	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:783-785	PRO
we	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:805-806	PRO
citizens	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:826-833	NOM
city	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:853-856	NOM
who	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:859-861	PRO
us	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:877-878	PRO
Our	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:908-910	PRO
us	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:942-943	PRO
we	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:949-950	PRO
Myanmar	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1002-1008	NAM
society	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1098-1104	NOM
.	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1131-1131	NOM
We	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1134-1135	PRO
citizens	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1147-1154	NOM
Rangoon	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1160-1166	NAM
their	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1173-1177	PRO
our	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1225-1227	PRO
users	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1290-1294	NOM
bar	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1417-1419	NOM
manager	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1431-1437	NOM
Philip Blackwood	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1440-1455	NAM
owner	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1462-1466	NOM
Tun Thurein	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1468-1478	NAM
manager	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1489-1495	NOM
Htut Ko Ko Lwin	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1497-1511	NAM
Southeast Asian	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1601-1615	NAM
country	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1617-1623	NOM
Blackwood	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1626-1634	NAM
New Zealand	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1668-1678	NAM
ministry	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1696-1703	NOM
spokesperson	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1705-1716	NOM
his	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1761-1763	PRO
family	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1765-1770	NOM
Burmese	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1804-1810	NAM
police	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1812-1817	NOM
official	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1819-1826	NOM
AFP	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1852-1854	NAM
we	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1861-1862	PRO
We	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:1904-1905	PRO
Buddhist	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2174-2181	NAM
nation	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2217-2222	NOM
that	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2224-2227	PRO
world	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2256-2260	NOM
Buddhist	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2299-2306	NAM
group	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2320-2324	NOM
Burma	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2329-2333	NAM
country	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2390-2396	NOM
Some	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2399-2402	PRO
Buddhist	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2435-2442	NAM
Sri Lanka	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2521-2529	NAM
Thailand	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2532-2539	NAM
Burma	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2545-2549	NAM
Religion News Service	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2584-2604	NAM
Burma	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2610-2614	NAM
country	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2667-2673	NOM
Rohingya	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2677-2684	NAM
Muslim	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2686-2691	NAM
population	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2693-2702	NOM
New Zealander	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2718-2730	NAM
foreigner	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2749-2757	NOM
Buddhist	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2798-2805	NAM
Southeast Asian	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2819-2833	NAM
country	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2835-2841	NOM
.	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2842-2842	NOM
British	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2856-2862	NAM
woman	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2864-2868	NOM
Sri Lanka	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2901-2909	NAM
her	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2934-2936	PRO
Buddha	20141213_WAPO_a2f79cf1047e5415fff64e0c0c63521e:2964-2969	NAM
teenager	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:6-13	NOM
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:41-43	PRO
Texas	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:76-80	NAM
Alecia Faith Pennington	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:131-153	NAM
herself	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:165-171	PRO
Texan	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:178-182	NAM
she	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:239-241	PRO
Pennington	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:276-285	NAM
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:292-294	PRO
parents	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:296-302	NOM
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:371-373	PRO
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:389-391	PRO
my	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:416-417	PRO
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:434-436	PRO
U.S.	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:438-441	NAM
she	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:464-466	PRO
home	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:472-475	NOM
she	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:487-489	PRO
school	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:503-508	NOM
19-year-old	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:535-545	PRO
she	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:558-560	PRO
college	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:591-597	NOM
Pennington	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:651-660	NAM
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:690-692	PRO
parents	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:694-700	NOM
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:752-754	PRO
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:762-764	PRO
place	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:766-770	NOM
her	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:790-792	PRO
Texas	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:832-836	NAM
legislator	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:838-847	NOM
Pennington	20150312_WAPO_32494dd95dbc3f9e47c418ab88154d02:912-921	NAM
